ISO.Code,Country.or.area
4,Afghanistan
8,Albania
12,Algeria
24,Angola
28,Antigua and Barbuda
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
44,Bahamas
48,Bahrain
50,Bangladesh
51,Armenia
52,Barbados
56,Belgium
64,Bhutan
68,Bolivia
70,Bosnia and Herzegovina
72,Botswana
76,Brazil
84,Belize
90,Solomon Islands
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
140,Central African Republic
144,Sri Lanka
148,Chad
152,Chile
156,China
170,Colombia
174,Comoros
178,Congo
180,Democratic Republic of the Congo
188,Costa Rica
191,Croatia
192,Cuba
203,Czech Republic
204,Benin
208,Denmark
214,Dominican Republic
218,Ecuador
222,El Salvador
226,Equatorial Guinea
231,Ethiopia
232,Eritrea
233,Estonia
242,Fiji
246,Finland
250,France
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
288,Ghana
296,Kiribati
300,Greece
308,Grenada
312,Guadeloupe
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
344,"China, Hong Kong Special Administrative Region"
348,Hungary
356,India
360,Indonesia
364,Iran (Islamic Republic of)
368,Iraq
372,Ireland
376,Israel
380,Italy
384,CÙte d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,Democratic People's Republic of Korea
410,Republic of Korea
414,Kuwait
417,Kyrgyzstan
418,Lao People's Democratic Republic
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
440,Lithuania
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
496,Mongolia
498,Republic of Moldova
499,Montenegro
504,Morocco
508,Mozambique
512,Oman
516,Namibia
524,Nepal
528,Netherlands
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
578,Norway
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
630,Puerto Rico
634,Qatar
638,RÈunion
642,Romania
643,Russian Federation
646,Rwanda
662,Saint Lucia
670,Saint Vincent and the Grenadines
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
694,Sierra Leone
702,Singapore
703,Slovakia
704,Viet Nam
705,Slovenia
706,Somalia
710,South Africa
716,Zimbabwe
724,Spain
728,South Sudan
729,Sudan
740,Suriname
748,Swaziland
752,Sweden
756,Switzerland
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
768,Togo
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
800,Uganda
804,Ukraine
807,The former Yugoslav Republic of Macedonia
818,Egypt
826,United Kingdom of Great Britain and Northern Ireland
834,United Republic of Tanzania
840,United States of America
850,United States Virgin Islands
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela (Bolivarian Republic of)
882,Samoa
887,Yemen
894,Zambia
